CMDLINE /users/p6065/anaconda3/envs/supergeo/bin/python3.9 seqproc_test.py
MEM 260.070312 1669892531.4161
MEM 260.070312 1669892531.5167
MEM 260.070312 1669892531.6172
MEM 260.070312 1669892531.7178
MEM 260.070312 1669892531.8183
MEM 260.070312 1669892531.9189
MEM 260.070312 1669892532.0194
MEM 260.070312 1669892532.1200
MEM 260.070312 1669892532.2205
MEM 260.070312 1669892532.3210
MEM 260.070312 1669892532.4215
MEM 260.070312 1669892532.5219
MEM 260.070312 1669892532.6224
MEM 260.070312 1669892532.7228
MEM 260.070312 1669892532.8233
MEM 260.070312 1669892532.9237
MEM 260.070312 1669892533.0242
MEM 260.070312 1669892533.1246
MEM 260.070312 1669892533.2251
MEM 260.070312 1669892533.3255
MEM 260.070312 1669892533.4260
MEM 260.070312 1669892533.5265
MEM 260.070312 1669892533.6269
MEM 260.070312 1669892533.7274
MEM 260.070312 1669892533.8278
MEM 260.070312 1669892533.9283
MEM 260.070312 1669892534.0287
MEM 260.070312 1669892534.1292
MEM 260.070312 1669892534.2296
MEM 260.070312 1669892534.3301
MEM 260.070312 1669892534.4305
MEM 260.070312 1669892534.5310
MEM 260.070312 1669892534.6315
MEM 260.070312 1669892534.7319
MEM 260.070312 1669892534.8323
MEM 260.070312 1669892534.9328
MEM 260.070312 1669892535.0332
MEM 260.070312 1669892535.1337
MEM 260.070312 1669892535.2341
MEM 260.070312 1669892535.3346
MEM 260.070312 1669892535.4351
MEM 260.070312 1669892535.5355
MEM 260.070312 1669892535.6359
MEM 260.070312 1669892535.7364
MEM 260.070312 1669892535.8368
MEM 260.070312 1669892535.9373
MEM 260.070312 1669892536.0377
MEM 260.070312 1669892536.1382
MEM 260.070312 1669892536.2386
MEM 260.070312 1669892536.3391
MEM 260.070312 1669892536.4395
MEM 260.070312 1669892536.5400
MEM 260.070312 1669892536.6405
MEM 260.070312 1669892536.7409
MEM 260.070312 1669892536.8413
MEM 260.070312 1669892536.9418
MEM 260.070312 1669892537.0422
MEM 260.070312 1669892537.1427
MEM 260.070312 1669892537.2431
MEM 260.070312 1669892537.3436
MEM 260.070312 1669892537.4441
MEM 260.070312 1669892537.5445
MEM 260.070312 1669892537.6449
MEM 260.070312 1669892537.7454
MEM 260.070312 1669892537.8458
MEM 260.070312 1669892537.9463
MEM 260.070312 1669892538.0467
MEM 260.070312 1669892538.1472
MEM 260.070312 1669892538.2476
MEM 260.070312 1669892538.3481
MEM 260.070312 1669892538.4485
MEM 260.070312 1669892538.5490
MEM 260.070312 1669892538.6495
MEM 260.070312 1669892538.7499
MEM 260.070312 1669892538.8504
MEM 260.070312 1669892538.9508
MEM 260.070312 1669892539.0513
MEM 260.070312 1669892539.1517
MEM 260.070312 1669892539.2522
MEM 260.070312 1669892539.3526
MEM 260.070312 1669892539.4531
MEM 260.070312 1669892539.5535
MEM 260.070312 1669892539.6540
MEM 260.070312 1669892539.7544
MEM 260.070312 1669892539.8548
MEM 260.078125 1669892539.9553
MEM 163.761719 1669892540.0557
MEM 163.804688 1669892540.1562
